2025-06-18 22:35:50,718 - INFO - System Monitor: Starting system monitoring...
2025-06-18 22:35:51,726 - INFO - CPU: Usage: 0.4%
2025-06-18 22:35:51,726 - INFO - Memory: Usage: 74.4%
2025-06-18 22:35:52,167 - INFO - Software: PID: 3576, Name: svchost.exe, Username: None
2025-06-18 22:35:52,173 - INFO - Software: PID: 3624, Name: svchost.exe, Username: None
2025-06-18 22:35:52,179 - INFO - Software: PID: 3636, Name: svchost.exe, Username: None
2025-06-18 22:35:52,184 - INFO - Software: PID: 3648, Name: MemCompression, Username: None
2025-06-18 22:35:52,190 - INFO - Software: PID: 3700, Name: svchost.exe, Username: None
2025-06-18 22:35:52,191 - INFO - Software: PID: 3724, Name: msedge.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,197 - INFO - Software: PID: 3772, Name: svchost.exe, Username: None
2025-06-18 22:35:52,202 - INFO - Software: PID: 3836, Name: svchost.exe, Username: None
2025-06-18 22:35:52,208 - INFO - Software: PID: 3904, Name: WmiPrvSE.exe, Username: None
2025-06-18 22:35:52,214 - INFO - Software: PID: 3920, Name: svchost.exe, Username: None
2025-06-18 22:35:52,215 - INFO - Software: PID: 4064, Name: msedge.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,216 - INFO - Software: PID: 4084, Name: chrome.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,221 - INFO - Software: PID: 4128, Name: spoolsv.exe, Username: None
2025-06-18 22:35:52,227 - INFO - Software: PID: 4268, Name: svchost.exe, Username: None
2025-06-18 22:35:52,233 - INFO - Software: PID: 4288, Name: svchost.exe, Username: None
2025-06-18 22:35:52,234 - INFO - Software: PID: 4324, Name: MfeBrowserHost.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,239 - INFO - Software: PID: 4360, Name: svchost.exe, Username: None
2025-06-18 22:35:52,246 - INFO - Software: PID: 4368, Name: svchost.exe, Username: None
2025-06-18 22:35:52,253 - INFO - Software: PID: 4376, Name: OneApp.IGCC.WinService.exe, Username: None
2025-06-18 22:35:52,260 - INFO - Software: PID: 4392, Name: svchost.exe, Username: None
2025-06-18 22:35:52,266 - INFO - Software: PID: 4400, Name: IntelAudioService.exe, Username: None
2025-06-18 22:35:52,271 - INFO - Software: PID: 4428, Name: warp-svc.exe, Username: None
2025-06-18 22:35:52,278 - INFO - Software: PID: 4436, Name: OfficeClickToRun.exe, Username: None
2025-06-18 22:35:52,283 - INFO - Software: PID: 4444, Name: svchost.exe, Username: None
2025-06-18 22:35:52,289 - INFO - Software: PID: 4452, Name: svchost.exe, Username: None
2025-06-18 22:35:52,295 - INFO - Software: PID: 4460, Name: svchost.exe, Username: None
2025-06-18 22:35:52,301 - INFO - Software: PID: 4480, Name: esif_uf.exe, Username: None
2025-06-18 22:35:52,308 - INFO - Software: PID: 4500, Name: jhi_service.exe, Username: None
2025-06-18 22:35:52,315 - INFO - Software: PID: 4548, Name: conhost.exe, Username: None
2025-06-18 22:35:52,316 - INFO - Software: PID: 4616, Name: msedgewebview2.exe, Username: DESKTOP-Q52NLNQ\QuanXam
2025-06-18 22:35:52,321 - INFO - Software: PID: 4620, Name: ModuleCoreService.exe, Username: None
2025-06-18 22:35:52,329 - INFO - Software: PID: 4628, Name: mfemms.exe, Username: None
2025-06-18 22:35:52,334 - INFO - Software: PID: 4700, Name: mongod.exe, Username: None
2025-06-18 22:35:52,340 - INFO - Software: PID: 4724, Name: Everything.exe, Username: None
2025-06-18 22:35:52,347 - INFO - Software: PID: 4740, Name: mysqld.exe, Username: None
2025-06-18 22:35:52,352 - INFO - Software: PID: 4764, Name: PEFService.exe, Username: None
2025-06-18 22:35:52,358 - INFO - Software: PID: 4772, Name: MpDefenderCoreService.exe, Username: None
2025-06-18 22:35:52,364 - INFO - Software: PID: 4820, Name: RstMwService.exe, Username: None
2025-06-18 22:35:52,371 - INFO - Software: PID: 4844, Name: RtkBtManServ.exe, Username: None
2025-06-18 22:35:52,378 - INFO - Software: PID: 4880, Name: SafeExamBrowser.Service.exe, Username: None
2025-06-18 22:35:52,384 - INFO - Software: PID: 4956, Name: SmartByteAnalyticsService.exe, Username: None
2025-06-18 22:35:52,390 - INFO - Software: PID: 4984, Name: SmartByteNetworkService.exe, Username: None
